Type, N, Time(ms)
DIV,1000,6.57215
THE_WOR_DIV,1000,6.57215
THE_BES_DIV,1000,6.57215
DIV,2000,12.4672
THE_WOR_DIV,2000,14.4632
THE_BES_DIV,2000,7.2316
DIV,3000,19.2023
THE_WOR_DIV,3000,22.8522
THE_BES_DIV,3000,11.4261
DIV,4000,25.5153
THE_WOR_DIV,4000,31.5644
THE_BES_DIV,4000,15.7822
DIV,5000,30.6207
THE_WOR_DIV,5000,40.517
THE_BES_DIV,5000,20.2585
DIV,6000,46.5067
THE_WOR_DIV,6000,49.6612
THE_BES_DIV,6000,24.8306
DIV,7000,45.332
THE_WOR_DIV,7000,58.9646
THE_BES_DIV,7000,29.4823
DIV,8000,48.5675
THE_WOR_DIV,8000,68.4045
THE_BES_DIV,8000,34.20225
DIV,9000,57.3806
THE_WOR_DIV,9000,77.9636
THE_BES_DIV,9000,38.9818
DIV,10000,67.6278
THE_WOR_DIV,10000,87.6287
THE_BES_DIV,10000,43.81435
VIO,1000,77.1552
THE_VIO,1000,77.1552
VIO,2000,307.548
THE_VIO,2000,308.6208
VIO,3000,689.78
THE_VIO,3000,694.3968
VIO,4000,1241.25
THE_VIO,4000,1234.4832
VIO,5000,1936.22
THE_VIO,5000,1928.88
VIO,6000,2763.65
THE_VIO,6000,2777.5872
VIO,7000,3804
THE_VIO,7000,3780.6048
VIO,8000,4941.34
THE_VIO,8000,4937.9328
VIO,9000,6308.83
THE_VIO,9000,6249.5712
VIO,10000,7737.6
THE_VIO,10000,7715.52
